product_link,title,brand,price,discount,avg_rating,total_ratings
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmf8bb3dbcec94d?pid=SHOEZ5ZGYP4ZMSRA&lid=LSTSHOEZ5ZGYP4ZMSRAM3WB8V&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=en_Z_aaX3qNnrDLjmVu_LYM_qoiy4bQ51lnTHQexPwye74obD8aJRNnHB593nDDMhAWtj4ArnHfBIO8aab7rOqzVvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight pink shoes for jogging, walking, gym & party Running Shoes For Women",asian ,675,0.15,4.2,2889
https://www.flipkart.com/asian-mercury-11-mint-sports-gym-walking-training-stylish-running-shoes-women/p/itmd59c8ace18690?pid=SHOGPDFBT6ZTMUDH&lid=LSTSHOGPDFBT6ZTMUDHQRQBUJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=en_Z_aaX3qNnrDLjmVu_LYM_qoiy4bQ51lnTHQexPwye75oKzZm2HewgB8yDlWR6r8pWNplvxv4QGN3V_p828cXQfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,"Mercury-11 Mint Sports,Gym,Walking,Training,Stylish Running Shoes For Women",asian ,803,0.23,4.2,89702
https://www.flipkart.com/fabbmate-trendy-memory-foam-walking-running-shoes-women/p/itmc5814f4e2a802?pid=SHOGH3Y26FSPPRQT&lid=LSTSHOGH3Y26FSPPRQTDN10J5&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_3&otracker=search&otracker1=search&fm=Search&iid=8646298e-a0f5-47eb-a4ab-593d05ad829a.SHOGH3Y26FSPPRQT.SEARCH&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,Fabbmate Trendy Memory Foam Walking Running Shoes For Women,Fabbmate ,373,0.53,4,111529
https://www.flipkart.com/sparx-sl-269-running-shoes-women/p/itmba72d48a6ca8e?pid=SHOH6GVNDZKZ8WZ3&lid=LSTSHOH6GVNDZKZ8WZ3OQKKLJ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_4&otracker=search&otracker1=search&fm=Search&iid=8646298e-a0f5-47eb-a4ab-593d05ad829a.SHOH6GVNDZKZ8WZ3.SEARCH&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,SL 269 Running Shoes For Women,Sparx ,1331,0.04,4.2,57
https://www.flipkart.com/layasa-stylish-casual-sports-shoe-running-shoes-women/p/itme344d8bd259de?pid=SHOGEGZWBTFUYQEX&lid=LSTSHOGEGZWBTFUYQEXNBMJLH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_5&otracker=search&otracker1=search&fm=Search&iid=en_Z_aaX3qNnrDLjmVu_LYM_qoiy4bQ51lnTHQexPwye75w039hKYXEWYFcz90U-Dp7QBW7NO4KkskWBPGCPjNg3g%3D%3D&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,Stylish Casual Sports Shoe Running Shoes For Women,Layasa ,472,0.52,3.9,17990
https://www.flipkart.com/layasa-running-shoes-women/p/itmf7a4dbe0d0e43?pid=SHOG69HVCMCZDETQ&lid=LSTSHOG69HVCMCZDETQBOWCKC&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_6&otracker=search&otracker1=search&fm=Search&iid=en_Z_aaX3qNnrDLjmVu_LYM_qoiy4bQ51lnTHQexPwye76iHkQFaljcylmwel8O4u4QrCmeTI0jXC6vEzrCXaovPg%3D%3D&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,Running Shoes For Women,Layasa ,398,0.6,4.1,62787
https://www.flipkart.com/wingscraft-pennon-casual-shoes-men-walking-sneakers-loafer-white-running-women/p/itmfe1a28cdbc312?pid=SHOH45MX3ZFTR3BA&lid=LSTSHOH45MX3ZFTR3BA2WZWHP&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=8646298e-a0f5-47eb-a4ab-593d05ad829a.SHOH45MX3ZFTR3BA.SEARCH&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,"PENNON Casual Shoes For Men Walking ,Sneakers ,Loafer casual shoes for Men white Running Shoes For Women",WINGSCRAFT ,353,0.64,,
https://www.flipkart.com/groofer-shoes-stylish-trendy-women-s-sport-sneakers-women/p/itma3b2ce1f53235?pid=SHOH3EZ5YHPSVZGY&lid=LSTSHOH3EZ5YHPSVZGYNP8YHQ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_8&otracker=search&otracker1=search&fm=Search&iid=8646298e-a0f5-47eb-a4ab-593d05ad829a.SHOH3EZ5YHPSVZGY.SEARCH&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,Groofer Shoes Stylish trendy women's Sport shoes Sneakers For Women,Groofer ,636,0.68,3.6,18
https://www.flipkart.com/crab-shoes-burg-06-training-gym-women/p/itm7a58195ab2042?pid=SHOFZA57ZRZSYDWV&lid=LSTSHOFZA57ZRZSYDWV5YBVG4&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_9&otracker=search&otracker1=search&fm=Search&iid=8646298e-a0f5-47eb-a4ab-593d05ad829a.SHOFZA57ZRZSYDWV.SEARCH&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,BURG-06 Training & Gym Shoes For Women,Crab Shoes ,438,0.56,4.1,1352
https://www.flipkart.com/vokline-sports-shoes-running-shoes-trekking-shoes-gym-shoes-women-outdoors/p/itm119cf8f5a660d?pid=SHOGBSKGPDZFUG63&lid=LSTSHOGBSKGPDZFUG63LH7I47&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&spotlightTagId=default_BestsellerId_osp%2Fiko%2Fd20&srno=s_1_10&otracker=search&otracker1=search&fm=Search&iid=8646298e-a0f5-47eb-a4ab-593d05ad829a.SHOGBSKGPDZFUG63.SEARCH&ppt=sp&ppn=sp&ssid=o8hmpbz5xc0000001747677678591&qH=32e27b1148959538,"sports shoes,Running shoes,Trekking Shoes,gym shoes for women Outdoors For Women",Vokline ,373,0.62,4.1,126174
